"state"	"variable"	"value"
"OKLAHOMA"	"1941"	89.9646330680813
"OREGON"	"1941"	568.160597572362
"PENNSYLVANIA"	"1941"	1015.25577641005
"RHODE ISLAND"	"1941"	38.0300957592339
"SOUTH CAROLINA"	"1941"	497.655453618756
"SOUTH DAKOTA"	"1941"	57.5856443719413
"TENNESSEE"	"1941"	286.27648839556
"TEXAS"	"1941"	296.355353075171
"UTAH"	"1941"	183.666061705989
"VERMONT"	"1941"	373.275862068966
"VIRGINIA"	"1941"	1041.82136602452
"WASHINGTON"	"1941"	86.7523756288429
"WEST VIRGINIA"	"1941"	605.729442970822
"WISCONSIN"	"1941"	966.87898089172
"WYOMING"	"1941"	329.95951417004
"ALABAMA"	"1942"	121.18327099626
"ARIZONA"	"1942"	727.671755725191
"ARKANSAS"	"1942"	229.742033383915
"CALIFORNIA"	"1942"	1260.84033613445
"COLORADO"	"1942"	498.203054806828
"CONNECTICUT"	"1942"	593.861607142857
"DELAWARE"	"1942"	73.4767025089606
"DISTRICT OF COLUMBIA"	"1942"	180.846063454759
"FLORIDA"	"1942"	189.493258949326
"GEORGIA"	"1942"	168.899968837644
"IDAHO"	"1942"	417.154811715481
"ILLINOIS"	"1942"	118.443589425344
"INDIANA"	"1942"	87.6817792985458
"IOWA"	"1942"	257.769577695777
"KANSAS"	"1942"	532.272727272727
"KENTUCKY"	"1942"	67.2506256703611
"LOUISIANA"	"1942"	125.726630007855
"MAINE"	"1942"	528.367103694875
"MARYLAND"	"1942"	532.532532532533
"MASSACHUSETTS"	"1942"	567.66590389016
"MICHIGAN"	"1942"	141.17859073707
"MINNESOTA"	"1942"	588.392186326071
"MISSISSIPPI"	"1942"	NA
"MISSOURI"	"1942"	174.849830242883
"MONTANA"	"1942"	605.598455598456
"NEBRASKA"	"1942"	442.776432606941
"NEVADA"	"1942"	846.715328467153
"NEW HAMPSHIRE"	"1942"	174.428274428274
"NEW JERSEY"	"1942"	305.352571561555
"NEW MEXICO"	"1942"	306.175298804781
"NEW YORK"	"1942"	175.142285802184
"NORTH CAROLINA"	"1942"	556.206220229756
"NORTH DAKOTA"	"1942"	273.413379073756
"OHIO"	"1942"	109.427464485579
"OKLAHOMA"	"1942"	268.668171557562
"OREGON"	"1942"	508.581752484191
"PENNSYLVANIA"	"1942"	355.729596042869
"RHODE ISLAND"	"1942"	632.887700534759
"SOUTH CAROLINA"	"1942"	200.847035376183
"SOUTH DAKOTA"	"1942"	147.877758913413
"TENNESSEE"	"1942"	98.9452194624022
