"","BusStopCode","RoadName","Description","Latitude","Longitude"
"2123","44541","Choa Chu Kang Dr","Northvale Condo",1.38764444400097,103.745935277981
"2124","44549","Choa Chu Kang Dr","Opp Northvale Condo",1.38748720575146,103.746189135824
"2125","44551","Choa Chu Kang Ave 5","Opp Blk 486",1.37602460873449,103.738430058838
"2126","44559","Choa Chu Kang Ave 5","Blk 483",1.37620955732727,103.737890663465
"2127","44561","Choa Chu Kang Ave 2","Opp Blk 295",1.3779870225601,103.741200488118
"2128","44569","Choa Chu Kang Ave 2","Blk 295",1.37811996831753,103.741221381659
"2129","44571","Choa Chu Kang Ave 2","Blk 297D",1.37836352141036,103.743166669523
"2130","44579","Choa Chu Kang Ave 2","Aft Blk 272",1.37850611289436,103.743452561071
"2131","44581","Choa Chu Kang Ave 5","Blk 489A",1.37532277779344,103.740313529862
"2132","44589","Choa Chu Kang Ave 5","Opp Blk 489A",1.37512566998176,103.740181525643
"2133","44591","Choa Chu Kang Ave 6","Blk 490B",1.37543194866252,103.741970144333
"2134","44599","Choa Chu Kang Ave 6","Bet Blks 801B/801C",1.37551323792473,103.742187762043
"2135","44601","Saujana Rd","Blk 413",1.38213337099986,103.768450446985
"2136","44609","Saujana Rd","Blk 408",1.38201455238716,103.768170863672
"2137","44611","Jelapang Rd","Blk 516",1.3871248273065,103.767578141028
"2138","44619","Jelapang Rd","Blk 506",1.38695072395596,103.767635749075
"2139","44621","Choa Chu Kang Ave 4","Opp Concord Pr Sch",1.37922934454518,103.73710050198
"2140","44629","Choa Chu Kang Ave 4","Blk 457",1.37851168892339,103.736449079387
"2141","44631","Jelebu Rd","Opp Bt Panjang Plaza",1.37961719959059,103.763909594626
"2142","44639","Jelebu Rd","Bt Panjang Plaza",1.38006972221146,103.76396027778
"2143","44641","Bt Panjang Ring Rd","Blk 602",1.38178063199093,103.762858982468
"2144","44649","Bt Panjang Ring Rd","Blk 541A CP",1.38207041321308,103.762962963967
"2145","44651","Bt Panjang Ring Rd","Blk 617",1.38533394998016,103.762896506005
"2146","44659","Bt Panjang Ring Rd","Blk 537A CP",1.38496763142496,103.762921009766
"2147","44661","Jelapang Rd","Blk 532",1.38447517162011,103.764995860258
"2148","44669","Jelapang Rd","Opp Blk 532",1.38428576640159,103.764897527637
"2149","44671","Saujana Rd","Bet Blks 502/503",1.38377960229632,103.76603097323
"2150","44679","Saujana Rd","Opp Blk 502",1.3835337784384,103.765995187457
"2151","44689","Choa Chu Kang Ave 3","Sunshine Pl",1.37811000397911,103.738498932661
"2152","44691","Segar Rd","BLK 485",1.38826258050731,103.77146464917
"2153","44699","Segar Rd","BLK 457",1.38805300466507,103.771543448681
"2154","44701","Bt Panjang Ring Rd","Blk 548B",1.38927144639115,103.768796868071
"2155","44709","Segar Rd","Blk 547C",1.3885418939603,103.768429675937
"2156","44711","Bt Panjang Ring Rd","Express",1.38771972200156,103.769183888987
"2157","44721","Bt Panjang Ring Rd","Opp Jelapang Stn",1.38679108297845,103.764919000027
"2158","44731","Jelebu Rd","Opp Blk 180",1.37887883000016,103.764327329977
"2159","44739","Jelebu Rd","Blk 180",1.37876549999936,103.764598499965
"2160","44771","Fajar Rd","Fajar Stn",1.38458556236413,103.770795663811
"2161","44779","Fajar Rd","Opp Fajar Stn",1.38422184036636,103.77020678945
"2162","44791","Senja Rd","West View Pr Sch",1.38372439268243,103.760688782324
"2163","44799","Senja Rd","Blk 610",1.38338692962433,103.760956242795
"2164","44801","Senja Rd","Opp Blk 628",1.38503510909651,103.759083406
"2165","44809","Senja Rd","Blk 628",1.38500083704863,103.759784254352
"2166","44811","Senja Rd","West Spring Sec Sch",1.38715472588861,103.76020832276
"2167","44819","Senja Rd","Opp West Spring Sec Sch",1.38707539442819,103.760047914009
"2168","44821","Senja Link","Blk 651",1.38637611056002,103.763384355877
"2169","44829","Senja Link","Opp Blk 650",1.38671416700146,103.763057499981
"2170","44851","Petir Rd","Bt Panjang Stn",1.37790132999746,103.763373330002
"2171","44859","Petir Rd","Maysprings Condo",1.37763753804628,103.763218056264
"2172","44861","Senja Rd","BLK 636A",1.3866920101757,103.75877312173
"2173","44869","Senja Rd","BEF BLK 629A MSCP",1.38658738981297,103.758862263719
"2174","44871","Choa Chu Kang Ave 7","Blk 810 CP",1.37415475892549,103.746797138392
"2175","44879","Choa Chu Kang Ave 7","Opp Blk 810 CP",1.37431656227768,103.747011289906
"2176","44889","Keat Hong Link","Opp Blk 816A",1.3755999743303,103.748398512868
"2177","44891","Choa Chu Kang Gr","APSN",1.37409009466488,103.749301601671
"2178","44899","Choa Chu Kang Gr","Opp APSN",1.37432287109092,103.749499895716
"2179","44909","Bt Panjang Rd","Blk 184",1.37998945869065,103.762258368864
"2180","44995","BKE","Express",0,0
"2181","45009","Woodlands Rd","Bt Panjang Temp Bus Pk",1.38376388890915,103.758276111138
"2182","45011","Woodlands Rd","Aft Yew Tee Flyover",1.38969249598709,103.754623581445
"2183","45019","Woodlands Rd","Aft Yew Tee Flyover",1.38821119718313,103.755591788644
"2184","45021","Woodlands Rd","Heavy Veh Pk",1.39385694401888,103.753835833003
"2185","45029","Woodlands Rd","Opp Heavy Veh Pk",1.39303959514259,103.754148647502
"2186","45031","Woodlands Rd","Yew Tee Ind Est",1.39616699222636,103.754173479164
"2187","45039","Woodlands Rd","Opp Yew Tee Ind Est",1.39585817355572,103.754278162244
"2188","45041","Woodlands Rd","Thong Huat Bros Pte Ltd",1.40005833889652,103.755452152442
"2189","45049","Woodlands Rd","Opp Yew Tee Ind Est Blk 1",1.39773638898124,103.75499277801
"2190","45051","Woodlands Rd","Da Di Glass",1.40329675344243,103.756008207032
"2191","45059","Woodlands Rd","Opp Da Di Glass",1.40340714613034,103.756216105158
"2192","45061","Woodlands Rd","Opp Mandai Est",1.40718111138275,103.756063001261
"2193","45069","Woodlands Rd","Aft Mandai Est",1.4069390779681,103.75626773949
"2194","45071","Woodlands Rd","Bef Mandai Rd",1.40906416698754,103.755783055992
"2195","45079","Woodlands Rd","Aft Mandai Rd",1.4091175684945,103.755977168488
"2196","45081","Woodlands Rd","Opp Mandai Rd",1.41108495083247,103.755595671493
"2197","45091","Woodlands Rd","Opp Jln Bumbong",1.41421866753882,103.755231446161
"2198","45099","Woodlands Rd","Aft Jln Bumbong",1.41341731294698,103.755913074859
"2199","45101","Woodlands Rd","Aft LP 234",1.41863235748269,103.754571519878
"2200","45109","Woodlands Rd","Bef Jln Bumbong",1.41785797439114,103.754780335413
"2201","45111","Woodlands Rd","Opp Kranji War Memorial",1.42170099129292,103.755662455968
"2202","45119","Woodlands Rd","Kranji War Memorial",1.42181345656216,103.755977293512
"2203","45121","Woodlands Rd","Opp S'pore Turf Club",1.42402638898738,103.75863222201
"2204","45129","Woodlands Rd","S'pore Turf Club",1.42382925070118,103.758634624273
"2205","45131","Woodlands Rd","Opp Kranji Stn",1.42513583961154,103.761037704494
"2206","45139","Woodlands Rd","Kranji Stn",1.42525961270458,103.761781018759
"2207","45141","Kranji Rd","Aft Woodlands Rd",1.42484086207371,103.756840699512
"2208","45149","Kranji Rd","Bef Woodlands Rd",1.4251485321405,103.756946712477
"2209","45151","Sg Kadut Ave","Opp Multistates Trading",1.40086873669287,103.754285565376
"2210","45159","Sg Kadut Ave","Multistates Trading",1.40081444400002,103.754101110974
"2211","45161","Sg Kadut Ave","Opp Hiap Hin",1.40273722420741,103.7546734945
"2212","45169","Sg Kadut Ave","Hiap Hin",1.40316333179329,103.754595943176
"2213","45171","Sg Kadut Ave","Aft Mandai Est",1.40600808717869,103.755356277707
"2214","45179","Sg Kadut Ave","Sri Arasakesari Sivan Tp",1.40606366967223,103.755202141115
"2215","45181","Mandai Rd","Opp Mandai CD Trg Village",1.41163371804971,103.761269948481
"2216","45189","Mandai Rd","Mandai CD Trg Village",1.41134149901997,103.760994442171
"2217","45191","Mandai Rd","Opp Mandai Police Trg Camp",1.41064903489935,103.763484591791
"2218","45199","Mandai Rd","Mandai Police Trg Camp",1.41035479540467,103.763224076212
"2219","45201","Mandai Rd","Opp Police Tactical Trg Camp",1.41047253271791,103.765824037547
"2220","45209","Mandai Rd","Police Tactical Trg Camp",1.4099988110322,103.766533771026
"2221","45211","Mandai Rd","Bef BKE",1.41031981199246,103.769788167952
"2222","45221","Mandai Rd","Aft Woodlands Rd",1.41185472198007,103.757860555972
"2223","45229","Mandai Rd","Bef Woodlands Rd",1.41157694400245,103.75794694402
"2224","45231","Choa Chu Kang Way","Blk 432",1.3847780730563,103.742213195867
"2225","45239","Choa Chu Kang Way","Bet Blks 306/307",1.38507307693267,103.742420830503
"2226","45241","Choa Chu Kang Way","Opp Blk 511A",1.38849236327693,103.740496284033
"2227","45249","Choa Chu Kang Way","Blk 511A",1.38856706129182,103.740862222717
"2228","45251","Choa Chu Kang Way","Opp Kranji Sec Sch",1.39132771354143,103.740065518188
"2229","45259","Choa Chu Kang Way","Blk 523",1.39170172991756,103.740542179615
