"COUNTY","T_PRES","T_ITEM","PERIOD","POP","D_PRES","D_ITEM"
"DORSET",170127,6091,201508,765700,222,8
"DURHAM",302387,14919,201508,855900,353,17
"EAST RIDING OF YORKSHIRE",44931,1778,201508,595700,75,3
"EAST SUSSEX",236869,10149,201508,829300,286,12
"ESSEX",419125,17153,201508,1787000,235,10
"GLOUCESTERSHIRE",117248,5354,201508,891800,131,6
"GREATER MANCHESTER",198644,8154,201508,2756200,72,3
"HAMPSHIRE",467697,17057,201508,1814300,258,9
"HEREFORDSHIRE",35641,1415,201508,188100,189,8
"HERTFORDSHIRE",188946,7663,201508,1166300,162,7
"ISLE OF WIGHT",35952,1312,201508,139400,258,9
"KENT",439932,17024,201508,1801200,244,9
"LANCASHIRE",647132,26290,201508,1478100,438,18
"LEICESTERSHIRE",149059,5924,201508,1017900,146,6
"LINCOLNSHIRE",250447,11522,201508,1066100,235,11
"LONDON",822638,34611,201508,8665000,95,4
"MERSEYSIDE",288512,11931,201508,1398000,206,9
"NORFOLK",250276,11098,201508,885000,283,13
"NORTH YORKSHIRE",239393,9963,201508,1140400,210,9
"NORTHAMPTONSHIRE",133820,5540,201508,723000,185,8
"NORTHUMBERLAND",84293,4220,201508,315300,267,13
"NOTTINGHAMSHIRE",122295,4613,201508,1124700,109,4
"OXFORDSHIRE",92670,3668,201508,677800,137,5
"RUTLAND",1118,48,201508,38000,29,1
"SHROPSHIRE",110326,3976,201508,482500,229,8
"SOMERSET",227073,8829,201508,940200,242,9
"SOUTH YORKSHIRE",362159,15144,201508,1374700,263,11
"STAFFORDSHIRE",233960,9112,201508,1114200,210,8
"SUFFOLK",227477,8560,201508,741900,307,12
"SURREY",324280,12700,201508,1168800,277,11
"TYNE AND WEAR",324836,18008,201508,1122200,289,16
"WARWICKSHIRE",88090,3357,201508,554000,159,6
"WEST MIDLANDS",306821,11922,201508,2833600,108,4
"WEST SUSSEX",205593,7633,201508,836300,246,9
"WEST YORKSHIRE",415822,18559,201508,2281700,182,8
"WILTSHIRE",154316,6293,201508,703300,219,9
"WORCESTERSHIRE",96628,3978,201508,578600,167,7
"BEDFORDSHIRE",105241,4098,201509,655000,161,6
"BERKSHIRE",189962,7325,201509,890600,213,8
"BRISTOL",52777,2166,201509,449300,117,5
"BUCKINGHAMSHIRE",80511,2826,201509,790200,102,4
"CAMBRIDGESHIRE",152893,6513,201509,841200,182,8
"CHESHIRE",415085,17127,201509,1043500,398,16
"CORNWALL",166965,6961,201509,551700,303,13
"CUMBRIA",198866,8113,201509,498000,399,16
"DERBYSHIRE",227963,8736,201509,1036600,220,8
"DEVON",363292,15015,201509,1169200,311,13
"DORSET",183018,6480,201509,765700,239,8
"DURHAM",333952,16458,201509,855900,390,19
"EAST RIDING OF YORKSHIRE",46164,1821,201509,595700,77,3
"EAST SUSSEX",262668,11008,201509,829300,317,13
"ESSEX",451771,18606,201509,1787000,253,10
"GLOUCESTERSHIRE",130230,5749,201509,891800,146,6
"GREATER MANCHESTER",217726,8877,201509,2756200,79,3
"HAMPSHIRE",511118,18592,201509,1814300,282,10
"HEREFORDSHIRE",42699,1667,201509,188100,227,9
"HERTFORDSHIRE",202503,8141,201509,1166300,174,7
"ISLE OF WIGHT",36892,1371,201509,139400,265,10
"KENT",478582,18413,201509,1801200,266,10
"LANCASHIRE",714540,28875,201509,1478100,483,20
"LEICESTERSHIRE",162048,6437,201509,1017900,159,6
"LINCOLNSHIRE",267994,12270,201509,1066100,251,12
"LONDON",895753,36673,201509,8665000,103,4
"MERSEYSIDE",316385,13051,201509,1398000,226,9
"NORFOLK",266685,11753,201509,885000,301,13
"NORTH YORKSHIRE",262804,10833,201509,1140400,230,9
"NORTHAMPTONSHIRE",140282,5825,201509,723000,194,8
"NORTHUMBERLAND",90392,4492,201509,315300,287,14
"NOTTINGHAMSHIRE",134039,5031,201509,1124700,119,4
"OXFORDSHIRE",102199,3892,201509,677800,151,6
"RUTLAND",1313,57,201509,38000,35,2
"SHROPSHIRE",122614,4337,201509,482500,254,9
"SOMERSET",223781,8884,201509,940200,238,9
"SOUTH YORKSHIRE",397535,16678,201509,1374700,289,12
"STAFFORDSHIRE",252159,9776,201509,1114200,226,9
"SUFFOLK",250846,9364,201509,741900,338,13
"SURREY",347471,13712,201509,1168800,297,12
"TYNE AND WEAR",347904,19217,201509,1122200,310,17
"WARWICKSHIRE",94160,3586,201509,554000,170,6
"WEST MIDLANDS",333939,12914,201509,2833600,118,5
"WEST SUSSEX",227934,8391,201509,836300,273,10
"WEST YORKSHIRE",450674,19931,201509,2281700,198,9
"WILTSHIRE",162104,6619,201509,703300,230,9
"WORCESTERSHIRE",101395,4211,201509,578600,175,7
"BEDFORDSHIRE",104908,4024,201510,655000,160,6
"BERKSHIRE",192136,7557,201510,890600,216,8
"BRISTOL",54004,2226,201510,449300,120,5
"BUCKINGHAMSHIRE",82363,2934,201510,790200,104,4
"CAMBRIDGESHIRE",157382,6696,201510,841200,187,8
"CHESHIRE",437020,18005,201510,1043500,419,17
"CORNWALL",167772,6964,201510,551700,304,13
"CUMBRIA",201609,8238,201510,498000,405,17
"DERBYSHIRE",233587,8969,201510,1036600,225,9
"DEVON",360223,15147,201510,1169200,308,13
"DORSET",187673,6577,201510,765700,245,9
"DURHAM",335010,16580,201510,855900,391,19
"EAST RIDING OF YORKSHIRE",48005,1909,201510,595700,81,3
"EAST SUSSEX",264304,11223,201510,829300,319,14
"ESSEX",462819,19037,201510,1787000,259,11
"GLOUCESTERSHIRE",130057,5763,201510,891800,146,6
"GREATER MANCHESTER",215425,8864,201510,2756200,78,3
"HAMPSHIRE",505582,18513,201510,1814300,279,10
"HEREFORDSHIRE",41967,1618,201510,188100,223,9
"HERTFORDSHIRE",205313,8313,201510,1166300,176,7
"ISLE OF WIGHT",37948,1399,201510,139400,272,10
"KENT",482467,18403,201510,1801200,268,10
"LANCASHIRE",714586,28994,201510,1478100,483,20
"LEICESTERSHIRE",168957,6667,201510,1017900,166,7
"LINCOLNSHIRE",271392,12449,201510,1066100,255,12
"LONDON",911429,37760,201510,8665000,105,4
"MERSEYSIDE",322766,13351,201510,1398000,231,10
"NORFOLK",274593,11891,201510,885000,310,13
"NORTH YORKSHIRE",264479,10978,201510,1140400,232,10
"NORTHAMPTONSHIRE",145650,6031,201510,723000,201,8
"NORTHUMBERLAND",91736,4511,201510,315300,291,14
"NOTTINGHAMSHIRE",139326,5222,201510,1124700,124,5
"OXFORDSHIRE",102813,3956,201510,677800,152,6
"RUTLAND",1204,52,201510,38000,32,1
"SHROPSHIRE",121597,4293,201510,482500,252,9
"SOMERSET",239065,9285,201510,940200,254,10
"SOUTH YORKSHIRE",407638,16995,201510,1374700,297,12
"STAFFORDSHIRE",250330,9827,201510,1114200,225,9
"SUFFOLK",245768,9298,201510,741900,331,13
"SURREY",361667,13993,201510,1168800,309,12
"TYNE AND WEAR",358396,19603,201510,1122200,319,17
"WARWICKSHIRE",97703,3713,201510,554000,176,7
"WEST MIDLANDS",343339,13323,201510,2833600,121,5
"WEST SUSSEX",221939,8182,201510,836300,265,10
"WEST YORKSHIRE",453920,20210,201510,2281700,199,9
"WILTSHIRE",170007,6953,201510,703300,242,10
"WORCESTERSHIRE",103273,4276,201510,578600,178,7
"BEDFORDSHIRE",101419,3923,201511,655000,155,6
"BERKSHIRE",188690,7196,201511,890600,212,8
"BRISTOL",54816,2270,201511,449300,122,5
"BUCKINGHAMSHIRE",84726,2980,201511,790200,107,4
"CAMBRIDGESHIRE",156989,6576,201511,841200,187,8
"CHESHIRE",415762,17220,201511,1043500,398,17
"CORNWALL",161031,6638,201511,551700,292,12
"CUMBRIA",196552,8020,201511,498000,395,16
"DERBYSHIRE",227120,8714,201511,1036600,219,8
"DEVON",362295,15139,201511,1169200,310,13
"DORSET",181403,6425,201511,765700,237,8
"DURHAM",326463,15993,201511,855900,381,19
"EAST RIDING OF YORKSHIRE",47475,1888,201511,595700,80,3
